Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
0700.HK,28/10/2015,149.800003,150,150,148.100006,147.868057,10527282,,,,,,,,,,,,,,,,,,
0700.HK,29/10/2015,148,150.699997,150.699997,147.300003,146.091248,11031130,,-0.012016041,,,,,,,,,0,1.800003,,,,,,
0700.HK,30/10/2015,146.600006,145.100006,147.699997,145.100006,144.709335,13196707,,-0.009459419,,,,,,,,,0,1.399994,,,,,,
0700.HK,2/11/2015,147.5,148.800003,148.800003,146.199997,145.597717,10822588,,0.006139113,,,,,,,,,0.899994,0,,,,,,
0700.HK,3/11/2015,150.5,149.5,151.399994,148.899994,148.559021,22482139,,0.020338983,,,,,,,,,3,0,,,,,,
0700.HK,4/11/2015,153,153.600006,156.699997,151.899994,151.026794,27648790,,0.016611296,,,,,,,,,2.5,0,,,,,,
0700.HK,5/11/2015,152.300003,152.300003,153.399994,151.699997,150.335815,15731517,,-0.004575144,,,,,,,,,0,0.699997,,,,,,
0700.HK,6/11/2015,154.5,152.5,155,151.100006,152.507431,11207896,,0.014445154,,,,,,,,,2.199997,0,,,,,,
0700.HK,9/11/2015,152,153.5,155.399994,151.5,150.039688,13988564,,-0.01618123,,,,,,,,,0,2.5,,,,,,
0700.HK,10/11/2015,150.399994,150.100006,150.800003,148.399994,148.460297,13943129,,-0.010526355,,,,,,,,,0,1.600006,,,,,,
0700.HK,11/11/2015,151.5,152.699997,154.5,150.800003,149.546127,25560762,,0.00731387,,,,,,,,,1.100006,0,,,,,,
0700.HK,12/11/2015,155,153.5,155.699997,152.5,153.000992,23088232,,0.02310231,,,,,,,,,3.5,0,,,150.9250005,,,
0700.HK,13/11/2015,152.199997,152,153.300003,151.300003,150.237076,12992169,,-0.018064535,,,,,,,,,0,2.800003,,,151.1211538,,,
0700.HK,16/11/2015,149.100006,148.800003,150.300003,148.600006,147.177078,14105791,,-0.020367878,,,,,,,,,0,3.099991,,,150.810208,,,
0700.HK,17/11/2015,151.199997,151,153.699997,150.5,149.25,15549848,,0.014084446,,,,,,,150.9066671,52.39725148,2.099991,0,1.092856286,0.992856714,150.8701755,,,
0700.HK,18/11/2015,151.399994,153,153.100006,150.5,149.447388,9576626,,0.001322732,,,,,,,151.0133331,56.15941478,0.199997,0,1.107141786,0.864285071,150.9516861,,,
0700.HK,19/11/2015,153.100006,153.600006,154.699997,152,151.125488,13314104,,0.011228613,,,,,,,151.3533335,61.64874802,1.700012,0,1.228571214,0.7642855,151.2821968,,,
0700.HK,20/11/2015,155.100006,153.100006,155.399994,152,153.099686,11150294,,0.013063357,,,,,,,151.9200002,63.10345862,2,0,1.307143071,0.7642855,151.8695521,,,
0700.HK,23/11/2015,155.5,156.5,157.399994,155,153.494537,13409373,,0.002578943,,,,,,,152.4533335,59.46969912,0.399994,0,1.121428357,0.7642855,152.4280825,,,
0700.HK,24/11/2015,156.100006,156,156.600006,155,154.086807,9906385,,0.003858559,,,,,,,152.8266673,56.32654286,0.600006,0,0.9857145,0.7642855,152.9929938,,,
0700.HK,25/11/2015,156.399994,156.699997,156.699997,155.399994,154.382919,13077902,,0.001921768,,,,,,,153.0533335,58.50620857,0.299988,0,1.007142214,0.714285714,153.5171477,,,
0700.HK,26/11/2015,155.699997,158,158.300003,155.699997,153.691956,14044010,,-0.004475684,,,,,,,153.2799998,52.65486168,0,0.699997,0.849999571,0.7642855,153.8529707,,,
0700.HK,27/11/2015,153.199997,155.199997,155.5,152.300003,151.224197,16407039,,-0.016056519,,,,,,,153.1933329,52.65486168,0,2.5,0.849999571,0.7642855,153.7525132,,,
0700.HK,30/11/2015,154.300003,153.600006,155.800003,151.600006,152.310013,32671234,,0.007180196,,,,,,,153.3466665,58.82355337,1.100006,0,0.928571429,0.649999357,153.8367424,,,
0700.HK,1/12/2015,154.300003,156.399994,157.5,153.800003,152.310013,25975545,,0,,,,,,,153.6066671,56.66667857,0,0,0.849999571,0.649999357,153.9080133,,,
0700.HK,2/12/2015,153.699997,154.899994,155.5,153,151.717758,20711745,,-0.003888568,,,,,,,153.7533335,46.40882971,0,0.600006,0.599999571,0.692856929,153.8760108,152.4000003,1.476010405,
0700.HK,3/12/2015,154.399994,153.800003,155.399994,153,152.408722,28096751,,0.004554307,,,,,,,153.7133331,56.87499707,0.699997,0,0.649999357,0.492856714,153.9566236,152.548148,1.408475534,
0700.HK,4/12/2015,151,151,151.600006,149,149.052567,49898559,,-0.022020687,,,,,,,153.6333333,55.82820674,0,3.399994,0.649999357,0.5142855,153.5017584,152.4334704,1.068288003,
0700.HK,7/12/2015,150.899994,152.600006,152.699997,150.600006,148.953857,21270875,,-0.000662291,,,,,,,153.7533325,48.95103868,0,0.100006,0.5,0.521428786,153.101487,152.3198795,0.781607401,
0700.HK,8/12/2015,149.699997,151,151,148.399994,147.769333,17790393,,-0.007952267,,,,,,,153.6533325,44.44445534,0,1.199997,0.4857145,0.607142857,152.5781808,152.1258142,0.452366629,
0700.HK,9/12/2015,150.699997,148.399994,152,148.399994,148.756454,18826804,,0.006680027,,,,,,,153.6066661,41.78078603,1,0,0.435713643,0.607142857,152.2892294,152.0201981,0.269031362,
